id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
782254,Rental unit in Amsterdam · ★4.66 · 2 bedrooms · 3 beds · 1 bath,4125951,Daniela,,Centrum-West,52.37142,4.89036,Entire home/apt,399,4,57,6/28/2022,0.45,1,11,1,0363 8627 FC55 F473 7A25
357980,Townhouse in Amsterdam · ★4.86 · 4 bedrooms · 4 beds · 1.5 baths,1811745,Marre,,De Baarsjes - Oud-West,52.36348,4.87648,Entire home/apt,245,2,125,5/7/2023,0.92,1,5,23,0363 799F 0610 C059 F9F4
366438,Condo in Amsterdam · ★4.74 · 1 bedroom · 1 bed · 1.5 baths,1849988,Nicolet,,Centrum-Oost,52.36737755,4.896707134,Private room,176,3,477,5/29/2023,3.51,1,99,43,0363 BD40 0F80 50E7 8478
579851,Guest suite in Amsterdam · ★4.97 · 1 bedroom · 1 bed · 1 private bath,2851886,Sonja,,Westerpark,52.39144,4.88436,Private room,150,2,552,4/14/2023,4.25,1,28,44,0363 74BB 1569 D1B7 ADBE
785432,Rental unit in Amsterdam · ★4.78 · 2 bedrooms · 3 beds · 1 bath,2586026,Nathalie,,Centrum-Oost,52.36856,4.89896,Entire home/apt,250,2,955,5/23/2023,7.49,1,40,102,0363 9012 937A BE0A DCB1
582028,Rental unit in Amsterdam · ★4.75 · 1 bedroom · 1 bed · 1.5 baths,2865851,Oliver,,Slotervaart,52.36022,4.84346,Entire home/apt,145,7,12,3/18/2023,0.1,1,147,2,0363 6AE3 C6BD AA79 AB13
582382,Townhouse in Amsterdam · ★4.78 · 2 bedrooms · 2 beds · 1.5 baths,2868026,Emer,,Oud-Noord,52.39442,4.91478,Entire home/apt,170,5,20,12/27/2019,0.15,1,0,0,0363 DAA7 B561 AC39 BB65
367107,Condo in Amsterdam · ★5.0 · 1 bedroom · 1 bed · 1.5 baths,1853421,Marijn,,Centrum-Oost,52.36263,4.90216,Entire home/apt,337,5,17,4/18/2023,0.18,1,77,5,0363 1761 5C93 2C93 93FE
367491,Rental unit in Amsterdam · ★4.91 · 1 bedroom · 1 bed · 1.5 baths,1855417,Maarten,,De Baarsjes - Oud-West,52.364,4.87814,Entire home/apt,209,3,80,5/15/2023,0.59,1,1,8,0363 7096 B559 45DB 421C
794322,Boat in Amsterdam · ★4.76 · 1 bedroom · 1 bed · 1 private bath,4184910,Lydia,,Centrum-Oost,52.36863707,4.899095646,Private room,269,1,350,5/19/2023,2.79,1,255,21,0363 7FCD 7E75 8341 EB0E
379143,Rental unit in Amsterdam · ★4.86 · 1 bedroom · 1 bed · 1 shared bath,1887873,Dom,,De Pijp - Rivierenbuurt,52.3548,4.90533,Private room,429,3,153,5/29/2023,2.04,1,89,2,
588020,Rental unit in Amsterdam · ★4.54 · 3 bedrooms · 6 beds · 1 bath,1759884,Ivan,,Centrum-Oost,52.36918,4.91316,Entire home/apt,410,3,277,5/21/2023,2.74,3,220,69,Exempt
800723,Rental unit in Amsterdam · ★4.83 · 2 bedrooms · 2 beds · 1 bath,4215174,Hinde,,De Baarsjes - Oud-West,52.36884,4.86127,Entire home/apt,150,4,18,2/18/2020,0.14,1,156,0,0363 6CD0 61EE A298 8E86
590236,Rental unit in Amsterdam · ★4.87 · 1 bedroom · 1 bed · 1 bath,2912339,Kelli,,De Baarsjes - Oud-West,52.36809,4.85436,Entire home/apt,140,4,47,4/14/2023,0.36,1,239,5,0363 058A D932 3063 B1F7
379885,Houseboat in Watergraafsmeer · ★4.70 · 1 bedroom · 1 bed · 1 private bath,1907015,Masha,,De Pijp - Rivierenbuurt,52.35465,4.9061,Private room,287,3,94,4/14/2023,0.7,1,138,10,
801544,Rental unit in Amsterdam · ★4.57 · 2 bedrooms · 2 beds · 1 bath,1657181,Charlie,,De Pijp - Rivierenbuurt,52.35205,4.90267,Entire home/apt,175,3,97,10/17/2022,0.79,1,2,6,0363 B7E4 8394 0A13 58F5
402353,Loft in Watergraafsmeer · ★4.85 · 1 bedroom · 1 bed · 1.5 baths,2008330,Lidy,,Watergraafsmeer,52.35338,4.93407,Private room,154,2,249,2/12/2023,1.88,1,156,20,0363 12D8 9BB2 949E 3227
590386,Rental unit in Amsterdam · ★4.83 · 4 bedrooms · 4 beds · 1.5 baths,2913467,Ido,,Watergraafsmeer,52.35567,4.93175,Entire home/apt,200,7,7,7/29/2017,0.05,1,15,0,0363 A0F4 086A 0905 8765
802052,Boat in Amsterdam · ★4.93 · 1 bedroom · 1 bed · 1 private bath,4221960,Peter,,Centrum-Oost,52.36476,4.90925,Private room,135,1,1134,6/1/2023,8.85,1,161,153,0363 787E FE88 DA65 E7FC
414865,Rental unit in Amsterdam · ★4.89 · 1 bedroom · 1 bed · 1 bath,2063261,Miranda,,Zuid,52.35043,4.84676,Entire home/apt,110,4,9,1/4/2023,0.09,1,12,1,0363 DC39 26C1 3541 47BF
805330,Rental unit in Amsterdam · ★4.94 · 2 bedrooms · 2 beds · 1.5 baths,4239235,Felice,,De Pijp - Rivierenbuurt,52.34725,4.89341,Entire home/apt,249,4,17,9/13/2022,0.14,1,0,2,0363 9611 7834 EC7F E5BB
415619,Rental unit in Zeeburg · ★4.88 · 1 bedroom · 1 bed · 1 bath,1336633,Stephan,,Oostelijk Havengebied - Indische Buurt,52.36905,4.93528,Entire home/apt,145,2,81,5/28/2023,0.6,1,144,6,0363 09A6 8FFA 6EC4 805F
590681,Rental unit in Amsterdam · ★4.95 · 4 bedrooms · 1 bed · 2 baths,2914846,Lotte,,Zuid,52.34788,4.8506,Entire home/apt,394,2,21,5/2/2023,0.16,1,57,7,0363 9A2B 5A8C 1B13 AF1B
816048,Home in Amsterdam · ★4.67 · 2 bedrooms · 3 beds · 1.5 baths,4287096,Esther,,Centrum-Oost,52.35944,4.89299,Entire home/apt,495,4,7,8/11/2018,0.06,1,18,0,03632805EDDF7FA9A780
606871,Boat in Amsterdam · ★4.75 · 1 bedroom · 1 bed · 1 private bath,3007402,Diewert,,Westerpark,52.37621,4.87075,Private room,148,1,432,6/3/2023,3.45,1,276,92,
432233,Condo in Amsterdam · ★4.81 · 1 bedroom · 1 bed · 1 bath,2144360,Feiko,,Centrum-Oost,52.36096191,4.888226032,Entire home/apt,381,5,28,5/16/2023,0.21,1,0,4,0363 DA8F B298 31AF FE9B
816940,Rental unit in Amsterdam · ★4.76 · 1 bedroom · 1 bed · 1.5 baths,4290554,Joyce,,Zuid,52.35323,4.85421,Entire home/apt,200,6,69,5/24/2023,0.56,1,150,8,03632A9BE56A736890D1
438089,Bed and breakfast in Amsterdam · ★4.78 · 1 bedroom · 1 bed · 1 private bath,2064560,Har,,De Baarsjes - Oud-West,52.36116,4.86608,Private room,129,3,231,12/21/2022,1.77,2,2,16,
440992,Boat in Amsterdam · ★4.88 · 2 bedrooms · 2 beds · 1 bath,2191136,Jan,,Zuid,52.341621,4.849049,Entire home/apt,200,3,126,5/31/2023,0.94,1,15,10,0363 6532 4C0A A235 9114
608432,Bed and breakfast in Amsterdam · ★4.75 · Studio · 1 bed · 1 shared bath,3015785,Erik And Mary Jo,,Centrum-West,52.381996,4.888583,Private room,134,1,804,6/1/2023,6.11,2,30,99,
818881,Rental unit in Amsterdam · ★4.78 · 1 bedroom · 1 bed · 1.5 baths,4297337,Liesbeth,,Centrum-Oost,52.36123,4.89619,Entire home/apt,127,6,18,4/12/2023,0.15,1,115,5,0363 C043 2638 E06E 6A9B
834233,Rental unit in Amsterdam · ★4.89 · 1 bedroom · 2 beds · 1.5 baths,4364462,Margot,,Centrum-Oost,52.37272,4.90418,Entire home/apt,133,3,341,5/19/2023,2.69,1,77,29,0363 02A6 5C3D 72B4 EBA2
613088,Farm stay in Amsterdam · ★4.86 · 1 bedroom · 1 bed · 1 private bath,3040748,Henk,,Noord-Oost,52.41016,4.96369,Private room,87,2,414,5/7/2023,3.15,9,151,23,
441424,Home in Amsterdam · ★4.61 · 3 bedrooms · 3 beds · 2 baths,2193861,Marco,,Oostelijk Havengebied - Indische Buurt,52.37281,4.94303,Entire home/apt,175,3,39,8/20/2022,0.3,1,4,5,0363B9396B464F7B165A
835627,Rental unit in Amsterdam · ★4.94 · 3 bedrooms · 3 beds · 2 baths,3054367,Dorine,,Centrum-Oost,52.36899,4.91607,Entire home/apt,400,3,20,5/11/2023,0.16,1,14,4,0363 7FFF 9AB4 C585 EADB
445660,Guest suite in Amsterdam · ★4.79 · 2 bedrooms · 3 beds · 1 private bath,2202945,Heleen,,De Baarsjes - Oud-West,52.37001,4.85646,Private room,80,2,499,6/5/2023,3.7,1,164,71,0363 1D15 382F 70B9 6319
954629,Home in Amsterdam-Zuidoost · ★4.59 · 1 bedroom · 1 bed · 1.5 baths,5183517,Simone,,Bijlmer-Centrum,52.32019,4.95501,Private room,72,3,63,5/26/2023,0.61,2,185,44,
613110,Townhouse in Amsterdam · ★4.27 · 1 bedroom · 3 beds · 1.5 baths,3040855,Michael,,IJburg - Zeeburgereiland,52.36368,4.9794,Private room,112,1,291,4/16/2023,2.22,1,278,12,
847093,Condo in Amsterdam · ★4.73 · 3 bedrooms · 3 beds · 1 bath,4663170,Brenda,,De Baarsjes - Oud-West,52.3607,4.85991,Entire home/apt,150,5,52,12/31/2022,0.42,1,5,5,0363 F80D 830C 99F0 23E3
623123,Rental unit in Amsterdam · ★5.0 · 3 bedrooms · 2 beds · 3 baths,2695123,Janne,,De Baarsjes - Oud-West,52.36247,4.86534,Entire home/apt,450,4,26,5/3/2023,0.2,1,19,5,0363 C125 F449 C407 9F89
627188,Bed and breakfast in Amsterdam · ★4.86 · Studio · 1 bed · 1 shared bath,3015785,Erik And Mary Jo,,Centrum-West,52.381996,4.888583,Private room,143,1,547,5/27/2023,4.15,2,32,91,
954633,Home in Amsterdam-Zuidoost · ★4.85 · 1 bedroom · 2 beds · 1.5 baths,5183517,Simone,,Bijlmer-Centrum,52.32019,4.95501,Private room,78,3,150,6/1/2023,1.36,2,159,37,
851044,Rental unit in Amsterdam · ★4.76 · 2 bedrooms · 2 beds · 1.5 baths,4443833,Nova Team,,Zuid,52.34025,4.8466,Entire home/apt,202,1,911,5/12/2023,7.18,2,145,111,0363 B559 3E8F 0F72 1573
963328,Guest suite in Amsterdam · ★4.81 · 1 bedroom · 1 bed · 1 private bath,538659,Wendie,,Centrum-West,52.36561,4.88492,Private room,117,3,457,5/30/2023,3.72,1,67,55,
627213,Houseboat in Amsterdam · ★5.0 · 3 bedrooms · 3 beds · 2.5 baths,3113556,Ingmar,,Zuid,52.35094,4.88552,Entire home/apt,100,7,14,6/21/2018,0.11,1,0,0,0363 DDEB 4C21 A90A B9DD
633585,Rental unit in Amsterdam · ★4.82 · 1 bedroom · 1 bed · 1 bath,898904,Sietske,,De Pijp - Rivierenbuurt,52.34918,4.89197,Entire home/apt,125,4,92,2/28/2023,0.7,1,4,5,0363 7E98 4CFE 07C1 0AD3
853645,Loft in Amsterdam · ★4.81 · 2 bedrooms · 2 beds · 1 bath,4398387,Joyce,,De Pijp - Rivierenbuurt,52.35327,4.88703,Entire home/apt,800,30,70,4/7/2018,0.55,1,0,0,0363 ADD7 618B A8B0 4965
854328,Rental unit in Amsterdam · ★4.82 · 3 bedrooms · 3 beds · 2.5 baths,1347048,Family Of 5,,De Baarsjes - Oud-West,52.37262,4.87342,Entire home/apt,350,7,370,5/19/2023,2.98,2,30,26,0363 24EA E258 2D93 D630
634170,Loft in Amsterdam · ★4.88 · Studio · 4 beds · 1 bath,3078488,Carolina,,Westerpark,52.38388,4.86562,Entire home/apt,109,91,148,6/30/2022,1.13,1,154,1,Exempt
653459,Home in Amsterdam · ★4.94 · 4 bedrooms · 5 beds · 3.5 baths,1634910,Derk,,Buitenveldert - Zuidas,52.32237,4.86024,Entire home/apt,240,6,18,7/31/2022,0.25,1,0,2,0363 05B8 09C7 203A E42A
964986,Rental unit in Amsterdam · ★5.0 · 2 bedrooms · 3 beds · 1.5 baths,2633774,Daniel,,De Pijp - Rivierenbuurt,52.35531,4.90333,Entire home/apt,355,5,32,9/10/2022,0.26,1,252,5,0363 7961 2CFF 0F2D 0125
862411,Rental unit in Amsterdam · ★4.90 · 1 bedroom · 1 bed · 1 bath,4520552,Simone,,Centrum-West,52.38139,4.88541,Entire home/apt,180,93,83,5/12/2023,0.66,1,188,3,0363 2A3E E12A B662 839B
969862,Rental unit in Amsterdam · ★4.72 · 1 bedroom · 2 beds · 1.5 baths,5297940,Helga,,Zuid,52.34176,4.84782,Private room,95,2,210,6/4/2023,1.76,1,233,36,
654931,Bed and breakfast in Amsterdam · ★4.87 · 1 bedroom · 1 bed · 1 private bath,3278419,Matthijs,,Centrum-West,52.37167,4.8948,Hotel room,143,1,831,6/5/2023,6.36,2,122,103,0363 4587 2DC3 051C 3FCA
865328,Rental unit in Amsterdam · ★4.95 · 1 bedroom · 3 beds · 1 private bath,4543444,Trinette,,Zuid,52.35584,4.87401,Private room,150,4,186,5/20/2023,2.1,1,221,53,
655216,Bed and breakfast in Amsterdam · ★4.89 · 1 bedroom · 1 bed · 1 private bath,3278419,Matthijs,,Centrum-West,52.37098,4.89434,Hotel room,143,1,733,6/5/2023,5.64,2,124,98,0363 4587 2DC3 051C 3FCA
974240,Place to stay in Amsterdam · ★4.97 · 1 bedroom · 1 bed · 1 private bath,4073717,Astrid,,Zuid,52.35049,4.84686,Private room,90,3,92,6/5/2023,1.5,2,2,41,0363 8515 2BFF 0068 0947
874057,Condo in Amsterdam · ★4.63 · 1 bedroom · 1 bed · 1 bath,4592706,Joris,,De Baarsjes - Oud-West,52.3719,4.86534,Entire home/apt,225,4,36,8/9/2019,0.29,1,0,0,0363 D8C9 D5CC EB9D 3699
978852,Bed and breakfast in Amsterdam · ★4.40 · 1 bedroom · 1 bed · 1 shared bath,3879155,Sjoukje,,De Baarsjes - Oud-West,52.37225,4.86262,Private room,31,28,261,5/29/2022,2.12,1,1,0,
658063,Bed and breakfast in Amsterdam · ★4.36 · 1 bedroom · 3 beds · 1 bath,3317069,Marfi,,De Baarsjes - Oud-West,52.36188,4.87694,Private room,160,3,117,5/27/2022,0.92,1,46,0,
660856,Townhouse in Amsterdam · ★4.82 · 4 bedrooms · 6 beds · 3 baths,3336575,Maaike,,Watergraafsmeer,52.3551,4.93262,Entire home/apt,275,28,40,7/24/2022,0.31,1,3,1,0363 528E 3889 FA20 43A1
874076,Bed and breakfast in Amsterdam · ★4.99 · 1 bedroom · 1 bed · 1 private bath,4614541,Driss And Bettina,,Centrum-Oost,52.361362,4.890488,Private room,183,2,70,3/30/2023,0.84,2,216,18,
664697,Loft in Amsterdam · ★4.33 · 1 bedroom · 1 bed · 1.5 baths,1406783,Alicia,,Oud-Noord,52.38537,4.90241,Entire home/apt,87,30,63,6/30/2018,0.48,2,267,0,Exempt
874340,Bed and breakfast in Amsterdam · ★4.57 · 1 bedroom · 2 beds · 1.5 shared baths,4615590,Marta,,Noord-West,52.42379,4.88851,Private room,103,2,333,11/13/2022,2.71,3,93,3,
667305,Rental unit in Amsterdam · ★4.97 · 1 bedroom · 1 bed · 1.5 baths,3375589,Fred Alexander,,Noord-West,52.41878,4.89397,Entire home/apt,146,5,31,5/27/2023,0.26,1,282,11,0363 1466 FFED D078 9856
982907,Loft in Amsterdam · ★4.82 · 3 bedrooms · 2 beds · 2.5 baths,3971476,Sander,,Oostelijk Havengebied - Indische Buurt,52.37,4.95127,Entire home/apt,145,5,11,7/7/2022,0.1,1,3,2,0363 34EB 7F6B 4DCC 5DB3
985155,Rental unit in Amsterdam · ★4.67 · 2 bedrooms · 2 beds · 1 bath,5247071,Linda,,Centrum-Oost,52.37042,4.91535,Entire home/apt,150,6,33,3/3/2022,0.3,1,0,0,0363 C54F 2BCC EC9F 89D7
874688,Rental unit in Amsterdam · ★4.81 · 5 bedrooms · 5 beds · 2 baths,4585922,Alan,,Centrum-Oost,52.36276624,4.908097686,Entire home/apt,459,4,32,8/17/2022,0.27,1,168,4,0363 7FD9 A20B AF5B 0687
989222,Rental unit in Amsterdam · ★4.73 · 1 bedroom · 1 bed · 1 bath,3205205,Chantal,,De Pijp - Rivierenbuurt,52.35082,4.8877,Entire home/apt,279,6,34,5/30/2023,0.28,2,0,1,0363 C630 0778 1E85 D138
679838,Condo in Amsterdam · ★4.94 · 1 bedroom · 1 bed · 1.5 baths,22642887,Marianne,,Centrum-Oost,52.3678894,4.903494835,Entire home/apt,614,3,56,7/29/2022,0.52,1,59,4,0363 0B70 756D 626C F77C
877702,Bed and breakfast in Amsterdam · ★4.98 · Studio · 1 bed · 1.5 baths,4614541,Driss And Bettina,,Centrum-Oost,52.36136246,4.890488148,Private room,238,2,64,5/9/2023,0.52,2,228,18,
683431,Rental unit in Amsterdam · ★4.67 · 1 bedroom · 1 bed · 1 private bath,2309485,Ned,,De Pijp - Rivierenbuurt,52.34557,4.8962,Private room,95,1,600,6/4/2023,5.57,1,19,101,
995087,Rental unit in Amsterdam · ★4.80 · 1 bedroom · 2 beds · 1.5 baths,4415881,Vera,,Westerpark,52.381615,4.877059,Private room,89,5,409,5/30/2023,3.53,1,11,39,
879986,Rental unit in Amsterdam · ★4.71 · 1 bedroom · 1 bed · 1.5 baths,3332206,Stef,,De Pijp - Rivierenbuurt,52.3418,4.91066,Private room,109,5,568,6/1/2023,4.52,1,222,31,
998822,Condo in Amsterdam · ★4.85 · 2 bedrooms · 4 beds · 1.5 baths,5489703,Edward,,Centrum-Oost,52.3643,4.89533,Entire home/apt,153,2,93,11/3/2019,0.85,1,0,0,0363 E7B9 D086 EF2D DB6B
685990,Home in Amsterdam · ★4.81 · 1 bedroom · 2 beds · 1.5 shared baths,3498674,Nadia,,Geuzenveld - Slotermeer,52.38296,4.83786,Private room,84,4,355,6/3/2023,2.72,2,292,39,
884329,Guest suite in Amsterdam · ★4.92 · 1 bedroom · 1 bed · 1 private bath,4684314,Frans,,De Aker - Nieuw Sloten,52.343079,4.788886,Private room,153,2,518,6/5/2023,4.12,1,205,49,
689623,Rental unit in Amsterdam · ★4.74 · 1 bedroom · 1 bed · 1.5 baths,2272095,Katinka,,Centrum-Oost,52.3737,4.92581,Entire home/apt,120,14,88,8/15/2022,0.72,1,47,3,0363 4EFA 63D8 DADD 844A
1005026,Rental unit in Amsterdam · ★5.0 · 1 bedroom · 1 bed · 1 bath,5527871,Kyra,,Westerpark,52.37367,4.87394,Entire home/apt,145,5,46,11/28/2021,0.37,1,52,0,0363 B722 0F9E DABD D7F5
886192,Chalet in Amsterdam · ★4.66 · 2 bedrooms · 3 beds · 1 bath,4698057,Bjorn,,Noord-Oost,52.38462,5.01234,Entire home/apt,110,3,54,5/9/2023,0.49,1,120,12,Exempt
1005695,Rental unit in Amsterdam · ★4.80 · 2 bedrooms · 1 bed · 1 shared bath,5530981,Freek,,Oud-Oost,52.35781,4.91027,Private room,129,3,47,8/29/2019,0.38,1,217,0,
690757,Loft in Amsterdam · ★4.51 · 1 bedroom · 2 beds · 1.5 shared baths,3529778,Gijs,,Centrum-West,52.374,4.89902,Private room,189,2,534,5/25/2023,4.11,2,253,68,0363 92E1 9539 83BB 3AA7
890288,Rental unit in Amsterdam · ★4.89 · 2 bedrooms · 2 beds · 2 baths,4724613,Cindy,,Zuid,52.35637,4.85373,Entire home/apt,445,3,48,5/15/2023,0.39,1,231,4,0363 BA28 A2B7 9DE1 64EC
693675,Rental unit in Amsterdam · ★4.73 · 2 bedrooms · 2 beds · 1 bath,3548522,Susanne,,De Baarsjes - Oud-West,52.35925,4.8514,Entire home/apt,95,1,11,9/2/2018,0.1,3,0,0,0363 8350 2AA2 28A1 C258
1008006,Boat in Amsterdam · ★4.75 · 1 bedroom · 1 bed · 1.5 baths,3523553,Doet,,Westerpark,52.37998,4.86959,Private room,141,3,147,5/22/2023,1.55,3,252,27,
